0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p
FTH1,0.0,RPS3A,5.482449610896197e-98,CD74,6.56287971684146e-185,CTSW,2.831966493501906e-127,LTB,7.279405873561938e-43,RPS27A,9.064350687148234e-18,RPL13,3.7062778228322175e-12,ACTB,1.7821503389743426e-08
S100A6,1.8261129671929821e-280,RPS27A,6.96187880713427e-97,CD79A,2.4043092316666123e-170,B2M,2.4479338511157954e-118,CD2,2.3568958772824057e-39,RPS3A,7.682075010031717e-17,JUNB,2.3178489256283916e-09,PGRMC1,3.330095792608362e-06
CYBA,8.710386565807195e-202,TPT1,4.044601419862568e-80,RPL18A,1.3763942368764724e-63,PTPRCAP,5.941714040490613e-66,B2M,2.0144464210888636e-27,TPT1,6.948032223853352e-16,TPT1,3.2606075056424653e-09,SEPT5,0.0002691197605725699
ACTB,4.995747361677031e-127,RPL21,6.378403665286241e-75,LINC00926,6.172400116001456e-62,CD247,7.940813072460343e-53,PTPRCAP,2.7535193574164557e-20,LTB,1.2244231959641562e-15,MALAT1,1.4199472243430225e-08,MYL9,0.000285766427761717
CD74,2.1002892946457142e-85,RPL13,1.748004802573948e-67,RPS5,5.795955212984932e-51,MALAT1,1.8567564150782998e-36,GIMAP7,1.708271606859294e-17,GIMAP5,3.4424049268556643e-15,SRSF5,1.0044304011724776e-07,FTH1,0.002122631879641506
VAMP8,3.888526190439097e-37,RPL34,1.384531616003549e-66,LTB,1.9726496865351994e-42,LYAR,8.926205341884633e-21,TPT1,5.711600329465987e-13,MALAT1,5.19173687044269e-15,RPS27A,1.4484452155169234e-06,B2M,0.005550509749465451
UBE2L6,5.86111800407516e-23,JUNB,1.308678159634819e-64,HVCN1,1.34898515177376e-40,ACTB,4.667891472249464e-17,RPS27A,4.710847684511843e-10,RPL21,3.31893937406637e-14,RPS3A,5.8834830747816775e-06,C2orf88,0.00939631900307701
ATP5D,1.0198919083360815e-21,LTB,1.1360164203070464e-42,RPL8,1.711249312899295e-30,PSME1,5.371122196671169e-16,RPL13,8.670668638604792e-10,RPL13,9.215786794865114e-13,RPS5,5.9297544387249565e-06,FHL1,0.012140504972724023
IL8,2.5162591764692884e-17,MALAT1,2.1563426788593434e-38,PTPRCAP,7.057728271361132e-23,ZAP70,6.1525263740486555e-15,MALAT1,3.650700439597419e-09,STK17A,1.052487381458689e-12,RPL18A,6.643091759954506e-06,UBAC2,0.02976281391650874
TMEM219,9.414296695760047e-17,RPS5,7.230435761920635e-37,LIMD2,1.0154247811575427e-17,CYBA,1.226622449794902e-14,CTSW,4.528134420637288e-08,GIMAP7,5.159001305298419e-10,RPL21,2.9742367063770303e-05,CLDN5,0.03756083947151734
